	PassengerId	Survived	Pclass	Name	Sex	SibSp	Parch	Ticket	Fare	Embarked	ship
0	1	0	3.0	Braund, Mr. Owen Harris	male	1	0	A/5 21171	7,25	S	Titanic
1	2	1	1.0	Cumings, Mrs. John Bradley (Florence Briggs Thayer)	female	1	0	PC 17599	71,2833	C	Titanic
2	3	1	3.0	Heikkinen, Miss. Laina	female	0	0	STON/O2. 3101282	7,925	S	Titanic
3	4	1	1.0	Futrelle, Mrs. Jacques Heath (Lily May Peel)	female	1	0	113803	53,1	S	Titanic
4	5	0	3.0	Allen, Mr. William Henry	male	0	0	373450	8,05	S	Titanic
5	6	0	3.0	Moran, Mr. James	male	0	0	330877	8,4583	Q	Titanic
6	7	0	1.0	McCarthy, Mr. Timothy J	male	0	0	17463	51,8625	S	Titanic
7	8	0	3.0	Palsson, Master. Gosta Leonard	male	3	1	349909	21,075	S	Titanic
8	9	1	3.0	Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)	female	0	2	347742	11,1333	S	Titanic
9	10	1	2.0	Nasser, Mrs. Nicholas (Adele Achem)	female	1	0	237736	30,0708	C	Titanic
10	11	1	3.0	Sandstrom, Miss. Marguerite Ru&5$$	female	1	1	PP 9549	16,7	S	Titanic
11	12	1	1.0	Bonnell, Miss. Elizabeth	female	0	0	113783	26,55	S	Titanic
12	13	0	3.0	Saundercock, Mr. William Henry	male	0	0	A/5. 2151	8,05	S	Titanic
13	14	0	3.0	Vestrom, Miss. Hulda Amanda Adolfina	female	0	0	350406	7,8542	S	Titanic
14	15	1	2.0	Hewlett, Mrs. (Mary D Kingcome)	female	0	0	248706	16	S	Titanic
15	16	0	3.0	Rice, Master. Eugene	male	4	1	382652	29,125	Q	Titanic
16	17	1	2.0	Williams, Mr. Charles Eugene	male	0	0	244373	13	So	Titanic
17	18	0	3.0	Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)	female	1	0	345763	18	S	Titanic
18	19	1	3.0	Masselmani, Mrs. Fatima	female	0	0	2649	7,225	C	Titanic
19	20	0	2.0	Fynney, Mr. Joseph J	male	0	0	239865	26	S	Titanic
20	21	1	2.0	Beesley, Mr. Lawrence	male	0	0	248698	13	S	Titanic
21	22	1	3.0	"McGowan, Miss. Anna ""Annie"""	female	0	0	330923	8,0292	Q	Titanic
22	23	0	3.0	Palsson, Miss. Torborg Danira	female	3	1	349909	21,075	S	Titanic
23	24	1	3.0	Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)	female	1	5	347077	31,3875	S	Titanic
24	25	0	3.0	Emir, Mr. Farred Chehab	male	0	0	2631	7,225	C	Titanic
25	26	0	1.0	Fortune, Mr. Charles Alexander	male	3	2	19950	263	S	Titanic
26	27	1	3.0	"O'Dwyer, Miss. Ellen ""Nellie"""	female	0	0	330959	7,8792	Q	Titanic
27	28	0	3.0	Todoroff, Mr. Lalio	male	0	0	349216	7,8958	S	Titanic
28	29	0	1.0	Uruchurtu, Don. Manuel E	male	0	0	PC 17601	27,7208	C	Titanic
29	30	1	1.0	Spencer, Mrs. William Augustus (Marie Eugenie)	female	1	0	PC 17569	146,5208	C	Titanic
30	31	1	3.0	Glynn, Miss. Mary Agatha	female	0	0	335677	7,75	Q	Titanic
31	32	0	2.0	Wheadon, Mr. Edward H	male	0	0	C.A. 24579	10,5	S	Titanic
32	33	0	1.0	Meyer, Mr. Edgar Joseph	male	1	0	PC 17604	82,1708	C	Titanic
33	34	0	1.0	Holverson, Mr. Alexander Oskar	male	1	0	113789	52	S	Titanic
34	35	1	3.0	Mamee, Mr. Hanna	male	0	0	2677	7,2292	C	Titanic
35	36	0	3.0	Cann, Mr. Ernest Charles	male	0	0	A./5. 2152	8,05	S	Titanic
36	37	0	3.0	Vander Planke, Miss. Augusta Maria	female	2	0	345764	18	S	Titanic
37	38	1	3.0	Nicola-Yarred, Miss. Jamila	female	1	0	2651	11,2417	C	Titanic
38	39	0	3.0	Ahlin, Mrs. Johan (Johanna Persdotter Larsson)	female	1	0	7546	9,475	S	Titanic
39	40	0	2.0	Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)	female	1	0	11668	21	S	Titanic
40	41	0	3.0	Kraeff, Mr. Theodor	male	0	0	349253	7,8958	C	Titanic
41	42	1	2.0	Laroche, Miss. Simonne Marie Anne Andree	female	1	2	SC/Paris 2123	41,5792	C	Titanic
42	43	1	3.0	Devaney, Miss. Margaret Delia	female	0	0	330958	7,8792	Q	Titanic
43	44	0	3.0	Rogers, Mr. William John	male	0	0	S.C./A.4. 23567	8,05	S	Titanic
44	45	0	3.0	Lennon, Mr. Denis	male	1	0	370371	15,5	Q	Titanic
45	46	1	3.0	O'Driscoll, Miss. Bridget	female	0	0	14311	7,75	Q	Titanic
46	47	0	3.0	Samaan, Mr. Youssef	male	2	0	2662	21,6792	C	Titanic
47	48	0	3.0	Arnold-Franchi, Mrs. Josef (Josefine Franchi)	female	1	0	349237	17,8	S	Titanic
48	49	0	3.0	Panula, Master. Juha Niilo	male	4	1	3101295	39,6875	S	Titanic
49	50	0	3.0	Nosworthy, Mr. Richard Cater	male	0	0	A/4. 39886	7,8	S	Titanic
50	51	1	1.0	Harper, Mrs. Henry Sleeper (Myna Haxtun)	female	1	0	PC 17572	76,7292	C	Titanic
51	52	1	2.0	Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)	female	1	0	2926	26	S	Titanic
52	53	0	1.0	Ostby, Mr. Engelhart Cornelius	male	0	1	113509	61,9792	C	Titanic
53	54	1	1.0	Woolner, Mr. Hugh	male	0	0	19947	35,5	S	Titanic
54	55	1	2.0	Rugg, Miss. Emily	female	0	0	C.A. 31026	10,5	S	Titanic
55	56	0	3.0	Novel, Mr. Mansouer	male	0	0	2697	7,2292	C	Titanic
56	57	1	2.0	West, Miss. Constance Mirium	female	1	2	C.A. 34651	27,75	S	Titanic
57	58	0	3.0	Goodwin, Master. William Frederick	male	5	2	CA 2144	46,9	S	Titanic
58	59	0	3.0	Sirayanian, Mr. Orsen	male	0	0	2669	7,2292	C	Titanic
59	60	0	1.0	Harris, Mr. Henry Birkhardt	male	1	0	36973	83,475	S	Titanic
60	61	0	3.0	Skoog, Master. Harald	male	3	2	347088	27,9	S	Titanic
61	62	0	1.0	Stewart, Mr. Albert A	male	0	0	PC 17605	27,7208	C	Titanic
62	63	1	3.0	Moubarek, Master. Gerios	male	1	1	2661	15,2458	C	Titanic
63	64	1	2.0	Nye, Mrs. (Elizabeth Ramell)	female	0	0	C.A. 29395	10,5	S	Titanic
64	65	0	3.0	Crease, Mr. Ernest James	male	0	0	S.P. 3464	8,1583	S	Titanic
65	66	1	3.0	Andersson, Miss. Erna Alexandra	female	4	2	3101281	7,925	S	Titanic
66	67	0	3.0	Kink, Mr. Vincenz	male	2	0	315151	8,6625	S	Titanic
67	68	0	2.0	Jenkin, Mr. Stephen Curnow	male	0	0	C.A. 33111	10,5	S	Titani
68	69	0	3.0	Goodwin, Miss. Lillian Amy	female	5	2	CA 2144	46,9	S	Titanic
69	70	0	2.0	Hood, Mr. Ambrose Jr	male	0	0	S.O.C. 14879	73,5	S	Titanic
70	71	0	3.0	Chronopoulos, Mr. Apostolos	male	1	0	2680	14,4542	C	Titanic
71	72	1	3.0	Bing, Mr. Lee	male	0	0	1601	56,4958	S	Titanic
72	73	0	3.0	Moen, Mr. Sigurd Hansen	male	0	0	348123	7,65	S	Titanic
73	74	0	3.0	Staneff, Mr. Ivan	male	0	0	349208	7,8958	S	Titanic
74	75	0	3.0	Moutal, Mr. Rahamin Haim	male	0	0	374746	8,05	S	Titanic
75	76	1	2.0	Caldwell, Master. Alden Gates	male	0	2	248738	29	S	Titanic
76	77	1	3.0	Dowdell, Miss. Elizabeth	female	0	0	364516	12,475	S	Titanic
77	78	0	3.0	Waelens, Mr. Achille	male	0	0	345767	9	S	Titanic
78	79	1	3.0	Sheerlinck, Mr. Jan Baptist	male	0	0	345779	9,5	S	Titanic
